% Cpu,Block Changes,Cursor/session,DB Cpu,DB Time,Date (DB Statistics),Date,Hard Parse (DB Statistics),Hard Parse,Instance Number (DB Statistics),Servers,JAVA Execs,Logical Reads,Number of Records,PLSQL Execs,Parse Time,PhysRead/Txn,PhysWrite/Txn,Redo 1,Redo,Repeat,SQL Execs,Sessions,User Calls
39.88,604.21,28.74,21087,52880,5/15/2018 2:00:00 PM,5/15/2018 2:00:00 PM,40,33,5,5,42,535.5,1,4039,104,6,339.24,911,2,32,49138,835,843.27
16.03,41.07,29.05,23380,145861,5/17/2018 4:00:00 PM,5/17/2018 4:00:00 PM,27,22,5,5,62,70.11,1,4008,98,7,356.97,878,2,32,94217,839,866.6
46.37,785.76,24.93,13350,28789,5/14/2018 3:00:00 AM,5/14/2018 3:00:00 AM,316,13,5,5,61,923.1,1,2295,412,3,220.93,539,1,32,27430,844,446.06
15.32,159.26,28.38,21399,139651,5/2/2018 6:00:00 PM,5/2/2018 6:00:00 PM,23,24,5,5,72,367.04,1,3825,95,7,311.29,832,2,32,90142,850,773.61
11.59,70.06,27.01,22887,197534,5/21/2018 6:00:00 PM,5/21/2018 6:00:00 PM,64,21,5,5,100,648.97,1,3730,138,6,354.16,674,2,32,121608,850,732.61
16.71,617.25,29.29,22048,131961,5/24/2018 6:00:00 PM,5/24/2018 6:00:00 PM,27,28,5,5,50,760.6,1,3787,95,5,341.74,557,2,32,87196,851,694.06
46.52,893.14,24.44,14340,30823,5/7/2018 3:00:00 AM,5/7/2018 3:00:00 AM,727,19,5,5,123,60.84,1,2446,1081,4,219.97,543,1,32,29326,855,434.22
53.02,327.53,27.1,19161,36142,5/1/2018 4:00:00 PM,5/1/2018 4:00:00 PM,34,27,5,5,51,762.27,1,3586,99,6,322.89,615,2,32,34248,865,764.93
16.92,456.32,28.38,22591,133503,5/10/2018 5:00:00 PM,5/10/2018 5:00:00 PM,31,32,5,5,64,453.61,1,3961,100,6,338.49,778,2,32,88036,874,776.54
50.75,286.15,25.98,17610,34700,5/14/2018 10:00:00 AM,5/14/2018 10:00:00 AM,39,20,5,5,45,732.4,1,3369,94,5,304.63,507,2,32,32883,874,698.96
