% Cpu,Block Changes,Cursor/session,DB Cpu,DB Time,Date (DB Statistics),Date,Hard Parse (DB Statistics),Hard Parse,Instance Number (DB Statistics),Servers,JAVA Execs,Logical Reads,Number of Records,PLSQL Execs,Parse Time,PhysRead/Txn,PhysWrite/Txn,Redo 1,Redo,Repeat,SQL Execs,Sessions,User Calls
51.76,826.66,28.64,20601,39798,4/17/2018 6:00:00 PM,4/17/2018 6:00:00 PM,28,28,4,4,69,674.26,1,3746,98,6,323.62,913,2,33,37813,841,827.29
16.8,770.79,29.14,19417,115568,3/7/2018 8:00:00 PM,3/7/2018 8:00:00 PM,52,19,4,4,177,76.99,1,3792,132,7,357.28,684,2,33,78974,841,709
52.54,960.46,27.73,19574,37256,4/16/2018 7:00:00 PM,4/16/2018 7:00:00 PM,87,22,4,4,86,890.8,1,3456,160,5,320.34,741,2,33,35295,842,721.07
16.96,639.21,29.67,20795,122631,3/9/2018 5:00:00 PM,3/9/2018 5:00:00 PM,30,23,4,4,117,522.86,1,4237,107,7,349.28,944,2,33,80816,843,853.57
52.98,832.83,28.27,19069,35994,2/6/2018 3:00:00 PM,2/6/2018 3:00:00 PM,41,22,4,4,62,914.27,1,3932,105,6,353.42,798,2,33,33906,843,806.29
52.69,843.62,28.48,20266,38461,5/15/2018 6:00:00 PM,5/15/2018 6:00:00 PM,33,29,4,4,67,834.17,1,3715,107,6,340.63,734,2,33,36161,844,757.95
54.84,579.77,27.56,19647,35828,1/30/2018 4:00:00 PM,1/30/2018 4:00:00 PM,34,24,4,4,50,405.7,1,4087,100,6,340.26,834,2,33,33724,845,836.39
55.66,184.85,26.92,19263,34607,1/16/2018 3:00:00 PM,1/16/2018 3:00:00 PM,24,20,4,4,88,680.79,1,3912,92,7,360.28,938,2,33,32528,846,829.72
51.12,494.49,25.12,13569,26543,1/22/2018 7:00:00 AM,1/22/2018 7:00:00 AM,8,16,4,4,51,862.12,1,2617,52,4,259.64,885,1,33,25138,847,523.37
21.66,229.87,28.06,20291,93701,1/31/2018 4:00:00 PM,1/31/2018 4:00:00 PM,37,21,4,4,68,825.96,1,4035,107,7,351,12,3,33,64823,847,878.76
52.76,594.6,28.08,17682,33516,1/5/2018 6:00:00 PM,1/5/2018 6:00:00 PM,20,22,4,4,55,337.43,1,3583,78,8,337.18,859,2,33,30970,848,929.07
17.53,420.08,29.44,22651,129192,5/24/2018 5:00:00 PM,5/24/2018 5:00:00 PM,25,21,4,4,74,278,1,3924,100,7,363.72,981,2,33,88521,848,843.08
16.51,922.35,28.92,20069,121586,2/2/2018 5:00:00 PM,2/2/2018 5:00:00 PM,34,22,4,4,61,648.63,1,3888,101,6,351.95,763,2,33,73005,849,762.38
54.9,237.45,27.95,21621,39384,3/27/2018 3:00:00 PM,3/27/2018 3:00:00 PM,32,22,4,4,165,231.5,1,4103,121,7,365.65,48,3,33,37260,849,874.34
56.4,693.33,28.53,20420,36206,3/28/2018 6:00:00 PM,3/28/2018 6:00:00 PM,20,19,4,4,214,983.92,1,3783,122,6,328.41,748,2,33,34195,850,756.94
11.49,264.55,29.1,21904,190682,3/23/2018 5:00:00 PM,3/23/2018 5:00:00 PM,23,22,4,4,158,385.19,1,4068,106,7,368.96,4,3,33,117850,850,844.19
17.34,40.97,28.41,19282,111206,3/6/2018 10:00:00 PM,3/6/2018 10:00:00 PM,18,21,4,4,152,487.24,1,3581,85,5,328.32,578,2,33,75555,852,663.66
53.15,67.6,28.95,18310,34447,2/15/2018 7:00:00 PM,2/15/2018 7:00:00 PM,36,21,4,4,64,213.5,1,3894,99,6,322.11,872,2,33,32307,852,733.91
49.45,905.14,26.53,17402,35189,5/7/2018 1:00:00 PM,5/7/2018 1:00:00 PM,66,19,4,4,55,908.8,1,3104,119,5,297.23,529,2,33,33510,852,656.28
55.45,689.77,27.75,21036,37939,4/4/2018 3:00:00 PM,4/4/2018 3:00:00 PM,24,21,4,4,149,248.61,1,4002,116,9,355.68,335,3,33,35813,852,892.55
52.53,311.39,29,19198,36544,2/15/2018 6:00:00 PM,2/15/2018 6:00:00 PM,25,20,4,4,60,243.59,1,4161,91,7,339.05,891,2,33,34276,853,802.6
17.04,265.2,28.59,23201,136190,5/16/2018 5:00:00 PM,5/16/2018 5:00:00 PM,34,22,4,4,68,719.81,1,4028,106,6,364.73,871,2,33,85290,853,817.77
36.51,461.23,27.91,21004,57536,3/27/2018 6:00:00 PM,3/27/2018 6:00:00 PM,34,21,4,4,177,458,1,3760,124,7,358.57,893,2,33,46460,853,801.64
54.68,724.17,28.28,21776,39825,3/28/2018 3:00:00 PM,3/28/2018 3:00:00 PM,23,24,4,4,245,866.23,1,4009,136,7,363.59,159,3,33,37694,853,907.15
53.51,671.52,27.5,17475,32657,1/4/2018 7:00:00 PM,1/4/2018 7:00:00 PM,17,28,4,4,49,800.85,1,3619,76,5,338.79,380,2,33,30719,854,677.68
54.32,419.96,29.31,20219,37221,4/13/2018 4:00:00 PM,4/13/2018 4:00:00 PM,29,22,4,4,61,820.8,1,3846,102,6,342.48,706,2,33,35239,854,821.13
10.18,80.29,27.53,19054,187211,1/26/2018 7:00:00 PM,1/26/2018 7:00:00 PM,24,19,4,4,68,421.95,1,3472,85,6,345.97,611,2,33,115199,855,702.65
