% Cpu,Block Changes,Cursor/session,DB Cpu,DB Time,Date (DB Statistics),Date,Hard Parse (DB Statistics),Hard Parse,Instance Number (DB Statistics),Servers,JAVA Execs,Logical Reads,Number of Records,PLSQL Execs,Parse Time,PhysRead/Txn,PhysWrite/Txn,Redo 1,Redo,Repeat,SQL Execs,Sessions,User Calls
19.77,449,28.95,21475,108618,3/15/2018 5:00:00 PM,3/15/2018 5:00:00 PM,33,23,6,6,97,235.1,1,4555,105,8,397.13,326,3,37,69457,856,929.49
14.72,149.25,27.96,22390,152077,3/21/2018 5:00:00 PM,3/21/2018 5:00:00 PM,35,22,6,6,88,676.67,1,4585,107,8,390.21,328,3,37,93770,867,990.1
15.57,274.01,25.63,19890,127708,3/5/2018 3:00:00 PM,3/5/2018 3:00:00 PM,217,21,6,6,73,129.25,1,4229,470,7,363.89,879,2,37,84824,883,824.1
52.37,607.85,26.21,20268,38702,3/12/2018 5:00:00 PM,3/12/2018 5:00:00 PM,54,23,6,6,92,989.74,1,4559,123,8,392.8,439,3,37,36219,886,933.58
52.3,878.02,25.82,20381,38972,3/12/2018 3:00:00 PM,3/12/2018 3:00:00 PM,83,23,6,6,102,576.32,1,4603,160,7,378.21,81,3,37,36511,894,885.55
15.56,914.6,29.28,21870,140581,3/7/2018 4:00:00 PM,3/7/2018 4:00:00 PM,20,21,6,6,211,6.55,1,4828,98,7,405.41,27,3,38,87354,826,858.02
49.57,50.37,28.7,20866,42099,3/6/2018 4:00:00 PM,3/6/2018 4:00:00 PM,24,23,6,6,98,699.38,1,4781,94,7,379.58,160,3,38,39439,830,923.07
16.29,594.87,29.32,22302,136883,3/14/2018 4:00:00 PM,3/14/2018 4:00:00 PM,34,21,6,6,99,581.7,1,4817,110,8,400.49,245,3,38,90703,834,972.7
53.85,756.22,28.51,21031,39057,3/20/2018 5:00:00 PM,3/20/2018 5:00:00 PM,35,22,6,6,88,961.83,1,4770,110,7,386.4,257,3,38,36587,839,922.07
16.74,987.19,28.07,20982,125304,3/6/2018 6:00:00 PM,3/6/2018 6:00:00 PM,28,20,6,6,141,189.75,1,4650,105,7,398.4,938,2,38,82666,853,801.18
53.81,461.26,26.36,22851,42464,3/12/2018 4:00:00 PM,3/12/2018 4:00:00 PM,118,23,6,6,731,140.43,1,5189,299,9,418.67,401,3,38,39897,878,987.45
14.76,85.43,29.6,22705,153798,3/22/2018 3:00:00 PM,3/22/2018 3:00:00 PM,29,24,6,6,94,621.84,1,4656,101,8,393.43,300,3,39,95304,823,973.15
21.93,45.71,27.57,21327,97248,3/6/2018 5:00:00 PM,3/6/2018 5:00:00 PM,31,21,6,6,92,559.41,1,4855,105,7,401.2,48,3,39,68112,868,873.13
15.99,720.48,26.11,21117,132052,3/5/2018 6:00:00 PM,3/5/2018 6:00:00 PM,43,27,6,6,187,211.16,1,4586,136,7,383.47,945,2,39,87619,881,837.58
52.96,604.42,26.03,23860,45052,3/19/2018 4:00:00 PM,3/19/2018 4:00:00 PM,40,26,6,6,1563,374.01,1,5139,226,9,417,657,3,39,42430,885,998.88
9.69,983.3,30.01,19456,200821,3/23/2018 7:00:00 PM,3/23/2018 7:00:00 PM,22,26,6,6,88,275.56,1,3723,79,9,351.38,370,3,40,118322,822,756.02
55.06,461.46,28.82,21861,39702,3/20/2018 4:00:00 PM,3/20/2018 4:00:00 PM,58,14.34,6,6,90,284.99,1,4816,135,8,383.42,491,3,40,37139,827,1
47.23,632.33,25.47,15191,32163,3/5/2018 6:00:00 AM,3/5/2018 6:00:00 AM,140,19,6,6,42,200.78,1,2999,190,8,281.84,523,2,40,30619,847,720.93
15.58,805.14,24.58,23630,151679,3/5/2018 4:00:00 PM,3/5/2018 4:00:00 PM,79,28,6,6,1624,839.01,1,5257,266,8,421.3,285,3,40,100169,929,922.75
49.41,620.35,26.33,17704,35830,3/26/2018 6:00:00 AM,3/26/2018 6:00:00 AM,37,850.23,6,6,79,532.24,1,2857,83,21,295.6,406,5,43,34285,826,2
16,787.1,27,22493,140564,3/5/2018 5:00:00 PM,3/5/2018 5:00:00 PM,63,26,6,6,92,374.59,1,5209,148,8,391.56,141,3,43,93709,845,985.71
52.74,490.26,29.49,16596,31466,3/28/2018 10:00:00 AM,3/28/2018 10:00:00 AM,29,26,6,6,97,856.06,1,3236,84,10,304.24,465,3,44,29911,822,754.49
51.84,610.38,25.62,15175,29274,3/19/2018 6:00:00 AM,3/19/2018 6:00:00 AM,60,17,6,6,73,928.16,1,2798,103,9,288.78,76,3,49,27843,844,921.48
55.3,111.08,29.49,19003,34362,3/30/2018 3:00:00 PM,3/30/2018 3:00:00 PM,23,201.35,6,6,57,511.98,1,3702,79,28,302.82,71,7,54,32647,849,1
52.89,842.52,28.64,16512,31223,3/30/2018 2:00:00 PM,3/30/2018 2:00:00 PM,16,25,6,6,59,859.77,1,3149,66,11,264.46,179,4,77,29733,876,799.01
,,20.86,,,3/24/2018 5:00:00 AM,3/24/2018 5:00:00 AM,,,7,7,0,,1,0,,,,,,0,,798,
,,19.78,,,3/25/2018 5:00:00 AM,3/25/2018 5:00:00 AM,,,7,7,0,,1,0,,,,,,0,,809,
50.97,172.48,31.05,6836,13412,3/11/2018 3:00:00 AM,3/11/2018 3:00:00 AM,16,78.08,7,7,68,198.73,1,1443,36,51.96,2,1.89,762,9,12652,797,13
51.16,168.03,30.7,7396,14458,3/10/2018 11:00:00 PM,3/10/2018 11:00:00 PM,28,732.37,7,7,59,160.75,1,1446,47,598.12,1,279.36,738,9,13702,806,12
51.28,165.32,30.64,7397,14424,3/10/2018 10:00:00 PM,3/10/2018 10:00:00 PM,45,102.21,7,7,71,183.46,1,1483,65,876.31,1,685.54,801,9,13618,806,13
49.94,181.99,30.48,7642,15301,3/11/2018 12:00:00 AM,3/11/2018 12:00:00 AM,39,741.21,7,7,69,180.87,1,1502,58,806.98,1,553.41,859,9,14474,812,14
49.55,179.87,30.48,7861,15866,3/11/2018 4:00:00 AM,3/11/2018 4:00:00 AM,13,805.95,7,7,73,206.57,1,1495,41,32.64,2,271.87,804,9,15034,813,13
